make,model,year,engine_size,cylinders,transmission,fuel_type,city_mpg,highway_mpg,combined_mpg,co2_emissions
Ac,Ace,1993,4.9,8,Automatic,Gasoline,25.0,33.8,29.4,302.3766680554729
Ac,Aceca,1998,3.5,8,Manual,Gasoline,11.8,26.1,17.6,506.4809189929171
Ac,Aceca,1998,4.6,8,Manual,Gasoline,15.6,22.4,19.3,461.1244187845962
Ac,Cobra,1990,4.9,8,Manual,Gasoline,13.8,23.5,16.3,544.2780024998513
Ac,Cobra,1990,4.9,8,Manual,Gasoline,13.1,19.6,15.0,593.4142110588656
Acura,Integra,1991,1.8,4,Automatic,Gasoline,25.0,30.9,27.7,321.27520980893996
Acura,Integra,1991,1.8,4,Manual,Gasoline,25.0,30.9,27.7,321.27520980893996
Acura,Integra,1991,1.8,4,Manual,Gasoline,25.0,30.9,28.0,317.49550145824657
Acura,Integra,1991,1.8,4,Manual,Gasoline,24.2,30.2,26.7,332.6143348610202
Acura,Integra,1991,1.8,4,Manual,Gasoline,25.0,30.9,27.4,325.05491815963336
Acura,Integra,1991,1.8,4,Automatic,Gasoline,25.0,30.9,28.0,317.49550145824657
Acura,Integra,1991,1.8,4,Manual,Gasoline,25.0,30.9,28.0,317.49550145824657
Acura,Integra,1991,1.8,4,Manual,Gasoline,25.0,30.9,27.4,325.05491815963336
Acura,Mdx,2001,3.5,6,Automatic,Gasoline,17.0,23.1,17.8,498.92150229153026
Acura,Mdx,2006,3.7,6,Automatic,Gasoline,17.0,22.0,19.4,457.3447104339028
Acura,Mdx,2013,3.5,6,Automatic,Gasoline,15.6,30.5,22.6,393.08966847211485
Acura,Nsx,1990,3.0,6,Manual,Gasoline,20.0,27.0,23.5,377.97083506934115
Acura,Nsx,2002,3.0,6,Manual,Gasoline,20.0,27.0,23.5,377.97083506934115
Acura,Nsx,2002,3.0,6,Manual,Gasoline,20.0,27.0,23.5,377.97083506934115
Acura,Nsx,2002,3.2,6,Manual,Gasoline,14.7,26.1,19.6,453.5650020832093
